accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Ground_Truth
33,3/14/2024,2:42,AM,"Los Angeles, Los Angeles","On March 14, 2024 at 2:42 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a passenger car on S Figueroa Street at 7th Street. The Waymo AV was traveling northeast on S Figueroa Street in the lane adjacent to the rightmost, bus-only lane. As the Waymo AV approached the intersection with 7th Street, it came to a stop behind another vehicle stopped in traffic. As a passenger car was passing the Waymo AV in the bus lane to the right of the Waymo AV, the passenger car made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the passenger car left the scene.Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. ",Yes,Jaguar,I-Pace,2021,No,,Toyota Avalon Limited / Touring / XL / XLS,2007,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_passenger_2, front_passenger_side_2",MINOR,
34,3/12/2024,8:20,AM,"Mountain View, Santa Clara","On Tuesday, March 12th, a Nuro Prius vehicle operating in manual was turning left from Alvin Street onto Thompson Ave in Mountain View, California. The Prius vehicle bumped the medium and knocked over a white pylon. The vehicle had minor damage and no injuries were reported. No other vehicles or VRUs were involved. Law enforcement was not involved. ",No,Toyota,Prius,2022,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_b_1,roadway_a_1,other_k,left_front_corner_1,MINOR,
35,3/8/2024,12:06,PM,"Los Angeles, Los Angeles","On March 8, 2024 at 12:06 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car near the 1600 block of S. Figueroa Street. The Waymo AV made a left turn from W. 17th Street onto S. Figueroa Street and came to a stop in a queue of stopped traffic. A passenger car traveling straight on S. Figueroa Street behind the Waymo AV made contact with the rear of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the passenger car left the scene.",Yes,Jaguar,I-Pace,2021,Yes,,Audi Q3 Quattro,2024,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_rear_1,MINOR,
36,3/3/2024,3:12,AM,"San Francisco, San Francisco","On March 3, 2024 at 3:12 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a pick-up truck near the 2300 block of Cesar Chavez Street.The Waymo AV was traveling westbound on Cesar Chavez Street towards 26th Street when it approached a pick-up truck which was oriented with its rear partially in the roadway on the north side of Cesar Chavez street. The pick-up truck was stationary but its reverse lights were illuminated. The Waymo AV came to a stop momentarily to yield to the pick-up truck, then began moving again to pass the pick-up truck, which had remained stopped. After the Waymo AV started moving, the pick-up truck began reversing further out of the driveway and the rear of the pick-up truck made contact with the right side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2024,Yes,,Ford 4C,2017,Yes,"weather_c_1, weather_c_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_b_1, roadway_b_2",Not specified,"right_rear_passenger_2, right_rear_passenger_4, front_passenger_side_2",MINOR,
37,3/2/2024,8:15,AM,"San Francisco, San Francisco","On March 2, 2024 at 8:14 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a dumpster on Odd Fellows Way, at the rear garage exit of 1155 Market Street. The Waymo AV was making a reversing right turn out of the parking garage onto Odd Fellows Way when the rear left corner of the Waymo AV made contact with a dumpster which was next to the curb in the roadway opposite the garage exit.  At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage.",No,Jaguar,I-Pace,2024,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_b_1,Not specified,left_rear_1,MINOR,
38,2/22/2024,11:00,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomy, traveling northeast on Mission St, was stopped in lane for a red traffic light at 9th Street. A SamTrans bus (Vehicle 2), with a front-mounted triple-bike rack extending past the width of the bus on the driver's side, was traveling southeast on 9th Street and attempting a right turn onto Mission St. The protruding edge of the bike rack was encroaching into the Zoox vehicle's travel lane as the bus was executing the right hand turn. As the light turned green the Zoox vehicle inched forward and attempted to steer away from the bus. Just as the safety operator disengaged from autonomy, the protruding edge of the bike rack made contact with the driver's side fender on the Zoox vehicle. There were no reported injuries and the police were not called.",Yes,Toyota,Highlander,2019,Yes,,,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2",Not specified,Not specified,"left_front_corner_1, front_driver_side_3",UNK,
39,2/22/2024,1:52,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomy was traveling southwest on Harrison St and turning right onto 13th Street on a green traffic signal. While executing the turn, the Zoox vehicle braked to achieve a minimal risk condition due to an unexpected system fault, the safety operator disengaged, and then was rear ended by a passenger car (Vehicle 2) that was also turning directly behind the Zoox vehicle. The rear bumper cover and rear radar unit on the Zoox vehicle sustained damage. The hood, front grille and front bumper cover on the passenger car appeared to have sustained damage. There were no reported injuries and police were not called.",No,Toyota,Highlander,2019,No,,Toyota Prius,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, left_rear_1, rear_bumper",UNK,
40,2/18/2024,1:03,AM,"San Francisco, San Francisco","On February 18, 2024 at 1:03 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on The Embarcadero at Washington Street.The Waymo AV was stopped in traffic for a red light on The Embarcadero southbound when a passenger car approached from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). Both vehicles sustained damage and the passenger car left the scene.",Yes,Jaguar,I-Pace,2021,No,,Toyota Camry,,Yes,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_b_1, roadway_b_2",Not specified,right_rear_1,MINOR,
41,2/15/2024,12:03,PM,"Sunnyvale, Santa Clara","On February 15th, a test vehicle operating with the automated driving system engaged was traveling Northbound on Highway 101 in Sunnyvale. The safety driver disengaged just prior to running over a piece of metal in the road. No injuries were reported and law enforcement was not called to the scene. The vehicle sustained minor damage.",No,Lexus,RX 450h,2016,Yes,,,,No,weather_b_1,road_conditions_g_1,lighting_a_1,roadway_a_1,other_k,left_rear_passenger_4,MINOR,
42,2/5/2024,10:01,AM,"Los Angeles, Los Angeles","On February 5, 2024 at 10:01 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a gate at Watt Way and West Exposition Boulevard.The Waymo AV was traveling south on Watt when it approached an automatic gate as it had started to close. The right side of the Waymo AV made contact with the door of the gate. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,Jaguar,I-Pace,2021,Yes,,,,No,weather_c_1,road_conditions_h_1,lighting_c_1,roadway_b_1,Not specified,front_passenger_side_2,MINOR,
43,1/31/2024,5:15,AM,"San Francisco, San Francisco","On January 31, 2024 at 5:15 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Potrero Avenue near 22nd Street.The Waymo AV was traveling southbound on Potrero Avenue in the leftmost thru lane, adjacent to a dedicated left turn lane on its left. As the Waymo AV approached the intersection with 22nd Street, it came to a stop behind its lead vehicle. The passenger vehicle behind the Waymo AV then attempted to change lanes into the dedicated left turn lane, and made contact with the rear driver side corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,No,,Toyota Camry L / LE / SE / XLE,2018,Yes,"weather_b_1, weather_b_2, weather_c_1, weather_c_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_b_1, roadway_b_2",Not specified,left_rear_1,MINOR,
44,1/31/2024,4:20,AM,"Palo Alto, Santa Clara","On Wednesday, January 31st at approximately 4:20pm, a Nuro Prius was operating in autonomous mode driving south on Boyce Ave in Palo Alto. As the Prius proceeded straight through the intersection of Boyce Ave. and Fife Ave. a Honda CR-V ran the Fife Ave. stop sign and initiated a left turn. The Honda CR-V rear-ended the Nuro Prius, though the Nuro driver took control of the Prius and nudged right in an attempt to avoid impact. Both vehicles sustained de minimis damage. Law enforcement was not involved and there were no injuries reported or VRUs present. ",No,Toyota,Prius,2022,Yes,,Honda CR-V,2023,Yes,weather_c_1,road_conditions_h_1,Not specified,roadway_b_1,other_k,left_rear_2,MINOR,
45,1/26/2024,11:06,AM,"Castro Valley, Alameda","On January 26th, a test vehicle operating with the automated driving system engaged was traveling Eastbound on Interstate 580 in Castro Valley when a nearby semi-trailer truck merging from Interstate 238 generated a draft that projected road debris onto the test vehicle. No injuries were reported and law enforcement was not called to the scene. The test vehicle sustained minor damage.",Yes,Lexus,RX 450h,2017,Yes,,,,No,weather_b_1,road_conditions_g_1,lighting_a_1,roadway_a_1,other_k,left_front_corner_3,MINOR,
46,1/17/2024,12:56,PM,"San Jose, Santa Clara","At approximately 12:56pm, a WeRide vehicle (car 1) was slowing to a stop (< 3mph) on 2nd street at the intersection of East San Fernando st. to turn left in an effort to yield to crossing pedestrians. At this time a Toyota Prius (car 2) traveling (>10mph) had slammed into car 1's rear - causing damage primarily to car 1. Both parties pulled over to a safe location to exchange information but the driver of car 2 could not provide a valid insurance or registration certificate.",Yes,Nissan,Leaf,2023,Yes,,Toyota ,2015,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,rear_bumper,MINOR,
47,1/15/2024,2:12,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomy was traveling on southbound Stockton St near Union St in San Francisco. The Zoox vehicle slowed to a gradual stop with brake and hazard lights activated during a simulated pick up-drop off maneuver when it was rear-ended by a minivan (Vehicle 2). The rear bumper of the Zoox vehicle sustained minor damage. There were no reported injuries, and police were not called. Zoox vehicle camera footage shows that the driver of the minivan may not have been looking ahead at the roadway prior to and at the time of contact.",Yes,Toyota,Highlander,2017,No,,Honda Odyssey,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_c,"left_rear_1, rear_bumper",MINOR,
48,1/12/2024,2:30,AM,"Mountain View, Santa Clara","On Friday, January 12th, a Nuro Prius operating autonomously was stopped at a red light at the intersection of Shoreline and Terra Bella Ave. A Mazda approaching the intersection failed to completely stop and rear-ended the Nuro Prius. No injuries were reported. Both vehicles sustained minor damage. ",Yes,Toyota,Prius,2022,No,,Mazda,2023,Yes,weather_a_1,Not specified,lighting_a_1,roadway_a_1,other_k,rear_bumper,MINOR,
49,1/11/2024,2:30,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1), operating in manual mode, was traveling southbound on Florida St near the intersection with Division St in San Francisco. The Zoox vehicle slowed to a stop to allow an oncoming box truck (Vehicle 2), attempting to turn left, to clear when the box truck made contact with the driver's side rear camera housing on the Zoox vehicle. There were no reported injuries and the police were not called.",No,Toyota,Highlander,2017,No,,International 4300SBA,2018,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_2,MINOR,
50,1/11/2024,4:56,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1), operating in manual mode, was stopped for a red traffic light  on northbound Bryant St at the intersection with 6th St in San Francisco with an SUV (Vehicle 2) traveling directly behind . As the signal turned green the Zoox vehicle remained stopped to avoid blocking the intersection as traffic was still stopped ahead. The SUV proceeded to move into the adjacent left lane, when its front bumper on the passenger's side made contact with the driver's side rear bumper of the Zoox vehicle. The front bumper of the SUV appeared to have sustained minor damage. The driver of the SUV left the scene without exchanging information. There were no reported injuries and the police were not called.",No,Toyota,Highlander,2019,No,,,,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2",lighting_a_1,"roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR,
51,1/11/2024,4:48,AM,"San Jose, Santa Clara","A Ghost ADS-equipped car was driving engaged Northbound on Highway 17. As always, there were two safety drivers in the car. Traffic was moving in all four lanes at or near the speed limit. The Ghost vehicle was in the right-middle lane. Another vehicle (the ""lead"" car) entered into the Ghost car's lane from the right. While there were numerous vehicles ahead of the Ghost car before that vehicle entered the lane, the lead vehicle blocked the view of the lane before it. Throughout the incident, traffic in the other three lanes continued at a steady pace. When the lead vehicle entered into the lane ahead of the Ghost car, the Ghost car applied the brakes to accommodate the intrusion and then continued to match the speed of the lead car. The lead car suddenly slammed the brakes. The Ghost car followed suit, reducing its speed from 19 mps (42.5 mph) to 4.7 mps (10.5 mph) within the next three seconds. The Ghost car was able to match the rapid speed reduction of the lead car and avoid contact. The driver following the Ghost car was not able to respond as quickly as the Ghost ADS. When the following driver began to apply the brakes, the car was about five meters behind and was traveling at 6.5 mps. At the point of impact, the Ghost vehicle was traveling at 4.78 mps (10.7 mph), matching the lead car. There were no injuries. The vehicles suffered only cosmetic damage, the drivers exchanged information, and the Ghost safety drivers returned to home base in conventional mode.",Yes,Toyota,Camry,2017,Yes,,Toyota Corolla,2007,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2, lighting_b_1, lighting_b_2","roadway_a_1, roadway_a_2",Not specified,rear_bumper,MINOR,
52,1/8/2024,12:05,PM,"Los Angeles, Los Angeles","On January 8, 2023 at 12:05 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving an SUV on Manhattan Place at West Adams Boulevard.  The Waymo AV was traveling northbound on Manhattan Place when it came to a stop to yield to an oncoming vehicle in a narrow roadway with parked vehicles on both sides of the street. As the oncoming SUV passed the Waymo AV, the driver’s side rear of the SUV made contact with the driver’s side rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the SUV left the scene.",Yes,Jaguar,I-Pace,2021,No,,Kia Telluride,2022,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_2,MINOR,
53,1/1/2024,9:13,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomy was stopped at a red traffic light on northbound Capp St at the intersection with 24th St in San Francisco. At that time, an SUV (Vehicle 2), heading southbound on Capp St, failed to stop for the red traffic light and entered the intersection, causing a collision with a passenger car (Vehicle 3) that was traveling eastbound on 24th Street. The SUV spun after making contact with the passenger car and collided with the stopped Zoox vehicle, damaging the front bumper on the driver’s side and driver’s side fender, mirror, and sensors on the Zoox vehicle. The police and EMS personnel were called to the scene. The driver of the SUV left the scene without exchanging information. The passenger car appeared to sustain significant damage to the front end. There were no reported injuries. ",Yes,Toyota ,Highlander,2017,No,,Toyota SUV (Vehicle 2),,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_front_corner_1, left_front_corner_3, front_driver_side_3",UNK,
54,1/1/2024,9:13,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomy was stopped at a red traffic light on northbound Capp St at the intersection with 24th St in San Francisco. At that time, an SUV (Vehicle 2), heading southbound on Capp St, failed to stop for the red traffic light and entered the intersection, causing a collision with a passenger car (Vehicle 3) that was traveling eastbound on 24th Street. The SUV spun after making contact with the passenger car and collided with the stopped Zoox vehicle, damaging the front bumper on the driver’s side and driver’s side fender, mirror, and sensors on the Zoox vehicle. The police and EMS personnel were called to the scene. The driver of the SUV left the scene without exchanging information. The passenger car appeared to sustain significant damage to the front end. There were no reported injuries. ",Yes,Toyota ,Highlander,2017,No,,Acura TSX (Vehicle 3),2009,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_front_corner_1, left_front_corner_3, front_driver_side_3",UNK,
